,명사,횟수,
1348,동지,5,1
1349,젠,5,1
1350,무한,5,1
1351,압도,5,1
1352,지대,5,1
1353,설,5,0
1354,시발,5,1
1355,버튼,5,1
1356,그림,5,1
1357,억제,5,1
1358,물론,5,1
1359,점주,5,1
1360,촉매,5,1
1361,기한,5,1
1362,포장지,5,1
1363,지열,5,1
1364,천안,5,1
1365,매립지,5,1
1366,영웅,5,1
1367,건담,5,1
1368,근접,5,1
1369,습관,5,1
1370,인지도,5,1
1371,림,5,0
1372,우라늄,5,1
1373,아카,5,0
1374,발효,5,1
1375,첨가,5,1
1376,짐,5,0
1377,탓,5,0
1378,박람회,5,1
1379,이스라엘,5,1
1380,패드,5,1
1381,쓰레기통,5,1
1382,동급,5,1
1383,동탄,5,1
1384,판교,5,1
1385,주유소,5,1
1386,퍼포먼스,5,1
1387,욕실,5,1
1388,관중,5,1
1389,발자국,5,1
1390,여파,5,1
1391,여행자,5,1
1392,카다,5,1
1393,장미,5,1
1394,국무,5,1
1395,산책로,5,1
1396,지목,5,1
1397,효소,5,1
1398,명령,5,1
1399,픽업트럭,5,1
1400,시가,5,1
1401,츠,5,0
1402,장재,5,1
1403,상공,5,1
1404,대리점,5,1
1405,콤,5,0
1406,에스티,5,1
1407,각지,5,1
1408,힐,5,0
1409,비축,5,1
1410,학계,5,1
1411,시리즈,5,1
1412,조각,5,1
