,명사,횟수,
1156,배상금,6,1
1157,액수,6,1
1158,페르시아만,6,1
1159,툰,6,0
1160,긴급,6,1
1161,경주,6,1
1162,학예,6,1
1163,고개,6,1
1164,햇빛,6,1
1165,옥내,6,1
1166,유연탄,6,1
1167,로드맵,6,1
1168,청취,6,1
1169,액체,6,1
1170,애플,6,1
1171,오렌지,6,1
1172,대나무,6,1
1173,용인시,6,1
1174,주간,6,1
1175,골칫거리,6,1
1176,휴지,6,1
1177,반납,6,1
1178,문구,6,1
1179,르포,6,0
1180,공학부,6,1
1181,미량,6,1
1182,졸업,6,1
1183,동구,6,1
1184,어로,6,1
1185,오물,6,1
1186,요구량,6,1
1187,기형,6,1
1188,요령,6,1
1189,찬성,6,1
1190,정류장,6,1
1191,주차장,6,1
1192,마린,6,1
1193,창문,6,1
1194,창업자,6,1
1195,빌,6,1
1196,팔레스타인,6,1
1197,부합,6,1
1198,스티커,6,1
1199,하겐다즈,6,1
1200,수업,6,1
1201,유부도,6,1
1202,신안,6,1
1203,도요,6,1
1204,강점기,6,1
1205,밀착,6,1
1206,전주,6,1
1207,후보지,6,1
1208,골머리,6,1
1209,군포,6,1
1210,기업인,6,1
1211,수확,6,1
1212,리사이클링,6,1
1213,각광,6,1
1214,유래,6,1
1215,연상,6,1
1216,기한,6,1
1217,역설,6,1
1218,공동체,6,1
1219,헌법,6,1
1220,일례,6,1
1221,질서,6,1
1222,동일,6,1
1223,범행,6,1
1224,역점,6,1
1225,모금,6,1
1226,놀이,6,1
1227,콘텐츠,6,1
1228,연맹,6,1
1229,북쪽,6,1
1230,재능,6,1
1231,세부,6,1
1232,가치관,6,1
1233,초점,6,1
1234,연령,6,1
1235,고질,6,1
1236,회계,6,1
1237,주주,6,1
1238,고유,6,1
1239,상처,6,1
1240,후기,6,1
1241,교사,6,1
1242,태평양,6,1
1243,습식,6,1
1244,잔,6,1
1245,국경,6,1
1246,간과,6,1
1247,승객,6,1
1248,계열사,6,1
1249,라벨,6,1
1250,잇,6,0
1251,파도,6,1
1252,시즌,6,1
1253,자생,6,1
1254,세정,6,1
1255,액상,6,1
1256,주류,6,1
1257,손상,6,1
1258,전례,6,1
1259,시연회,6,1
1260,여주,6,1
1261,유족,6,1
1262,권익,6,1
1263,소극,6,1
1264,탄원서,6,1
1265,포화,6,1
1266,부부,6,1
1267,보건복지부,6,1
1268,시흥시,6,1
1269,미가동,6,1
1270,용수,6,1
1271,량도,6,1
1272,수시,6,1
1273,이동경,6,1
1274,악용,6,1
1275,시책,6,1
1276,시일,6,1
1277,폐유,6,1
1278,민감,6,1
1279,할당량,6,1
1280,당량,6,1
1281,섬진강,6,1
1282,항구,6,1
1283,하천수,6,1
1284,증인,6,1
1285,엘지,6,1
1286,싱가포르,6,1
1287,익산,6,1
1288,통제,6,1
1289,이론,6,1
1290,주머니,6,1
1291,문화재,6,1
1292,간접,6,1
1293,부유,6,1
1294,스페이스,6,1
1295,에틸벤젠,6,1
1296,네덜란드,6,1
1297,착공,6,1
1298,고문,6,1
1299,김정수,6,1
1300,주석,6,1
1301,유로,6,1
1302,지검,6,1
1303,지청,6,1
1304,정의당,6,1
1305,강사,6,1
1306,난제,6,1
1307,한정,6,1
1308,총회,6,1
1309,원고,6,1
1310,기본법,6,1
1311,비자,6,1
1312,실업,6,1
1313,레이트,6,1
1314,탱크,6,1
1315,내역,6,1
1316,상향,6,1
1317,증발,6,1
1318,희석,6,1
1319,천안시,6,1
1320,국광,6,1
1321,내수,6,1
1322,심의,6,1
1323,결과물,6,1
1324,가시,6,1
1325,탈바꿈,6,1
1326,가중,6,1
1327,원천,6,1
1328,원리,6,1
1329,상장,6,1
1330,워크,6,1
1331,선광장,6,1
1332,동아일보,6,1
1333,껍질,6,1
1334,천문대,6,1
1335,구호,6,1
1336,칠곡,6,1
1337,매몰,6,1
1338,복무,6,1
1339,총면적,6,1
1340,무료,6,1
1341,출항,6,1
1342,소프트볼,6,1
1343,럭스,6,1
1344,필승,6,1
1345,파견대,6,1
1346,강화군,6,1
1347,험프리,6,1
1348,진정서,6,1
1349,술,6,1
1350,조개류,6,1
1351,노하우,6,1
1352,카마,6,1
1353,어류,6,1
1354,뿌리,6,1
1355,선저,6,1
1356,강북구,6,1
1357,꽁초,6,1
1358,거주지,6,1
1359,주거지,6,1
1360,대전시,6,1
1361,국내법,6,1
1362,골프공,6,1
1363,여럿,6,0
1364,오리,6,1
1365,덕트,6,1
1366,큐,6,0
1367,소각로,6,1
1368,교정,6,1
1369,다툼,6,1
1370,석학,6,1
1371,날개,6,1
1372,멀칭,6,1
1373,전송,6,1
1374,정립,6,1
1375,마케도니아,6,1
1376,아무것,6,1
1377,갑,6,0
1378,수수료,6,1
1379,마하,6,1
1380,발리,6,1
1381,봉선,6,1
1382,물새,6,1
1383,경로,6,1
1384,코스,6,1
1385,염,6,0
1386,무기,6,1
1387,인생,6,1
1388,검사소,6,1
1389,옥외,6,1
1390,부영,6,1
1391,린펀,6,1
1392,예술,6,1
1393,리우데자네이루,6,1
1394,인공섬,6,1
1395,독소,6,1
1396,좌석,6,1
1397,선교단체,6,1
1398,미나마타병,6,1
1399,백현진,6,1
1400,해비타트,6,1
1401,화천군,6,1
1402,계량기,6,1
1403,경의선,6,1
1404,대왕,6,1
1405,유나이티,6,1
1406,박각시나방,6,1
1407,제금,6,1
1408,마드,6,1
1409,잇몸,6,1
1410,전류,6,1
1411,불가,5,1
1412,폰,5,0
1413,대가,5,1
1414,피,5,1
1415,냉동,5,1
